Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Баран,Святослава,Леонідівна,Жінка,2003-11-08,Музичний редактор,хутір Географія Вільнянська,"узвіз Лінія 24-та, буд. 2 кв. 659, Балаклія, 76615",369-72-68,levko83@example.com
Мірошниченко,Максим,Юрійович,Чоловік,1968-01-20,Конструктор,хутір Рогатин,"площа Васнецова, буд. 06 кв. 7, Полтава, 89686",+380 83 533-77-95,amaliianeporozhnii@example.org
Юрчук,Федір,Олександрович,Чоловік,1959-11-09,Соціолог,село Первомайськ,"проспект Штурманська, буд. 4, Калуш, 95011",+380 (57) 005-92-82,giemets@example.com
Цюпа,Ганна,Олексіївна,Жінка,1969-09-15,Історик,селище Кривий Ріг,"узвіз Героїв прикордонників, буд. 8 кв. 6, Миколаїв, 40119",+380 (46) 274-80-22,ziemets@example.net
Яременко,Валентин,Андрійович,Чоловік,2004-09-13,Ді-джей,місто Географія Вільнянська,"проспект Бабеля, буд. 97, Винники, 05180",+380 69 878-20-58,mykhailo69@example.net
Алексеєнко,Сніжана,Григорівна,Жінка,2004-04-24,Палеонтолог,хутір Зіньків,"набережна Грецька, буд. 4, Сміла, 49423",+380 45 219 90 83,ludovenko@example.net
Бандера,Алевтин,Петрович,Чоловік,1966-03-01,Лікар,хутір Скадовськ,"провулок Мала, буд. 991, Вознесенівка, 90815",+380 89 410-08-19,lukian63@example.org
Рудик,Аліна,Олексіївна,Жінка,1955-08-09,Різноробочий,місто Дунаївці,"набережна Амурський 1-й, буд. 743 кв. 127, Новодружеськ, 54910",+380 50 238 76 09,utymchenko@example.com
Зарудний,Ігнат,Михайлович,Чоловік,1977-09-08,Модель,селище Кагарлик,"провулок Маловського, буд. 2, Березівка, 34136",046-64-98,turkalovira@example.org
Наливайко,Мартин,Леонідович,Чоловік,1968-03-26,Бібліограф,село Тетіїв,"узвіз Текстильників, буд. 59 кв. 0, Переяслав, 58930",059 203 20 04,svitlanahrytsenko@example.com
Цушко,Богуслава,Богданівна,Жінка,2001-09-17,Електрик,село Донецьк,"набережна Садова 6-та, буд. 5, Ананьїв, 18701",+380 (97) 927-09-24,volodymyraleksandrenko@example.com
Калениченко,Олена,Михайлівна,Жінка,1959-02-17,Флорист,селище Дунаївці,"узвіз Амбулаторний, буд. 4 кв. 023, Южноукраїнськ, 86075",+380 34 910-95-65,venedykt72@example.com
Редько,Амвросій,Степанович,Чоловік,1945-02-27,Ботанік,селище Горішні Плавні,"набережна Заводська 5-та, буд. 65, Покровськ, 98570",014-44-91,aishchenko@example.net
Лисенко,Одарка,Ігорівна,Жінка,1967-01-11,Астрофізик,селище Федорівка,"вулиця Офіцерський 1-й, буд. 16, Мелітополь, 66013",437-62-22,stefanvitruk@example.org
Артюшенко,Франц,Іванович,Чоловік,1988-07-02,Будник,селище Ічня,"проспект Чорноморський, буд. 5 кв. 67, Дунаївці, 86544",+380 03 665 98 01,vdrobakha@example.com
Чумаченко,Наталія,Степанівна,Жінка,1971-07-21,Пекар,село Кам'янка-Бузька,"площа Мічманський 1-й, буд. 0 кв. 806, Свалява, 49536",+380 26 747-15-75,khrystyna79@example.net
Гаврюшенко,Тереза,Олексіївна,Жінка,1974-09-13,Програміст,місто Вознесенівка,"проспект Зоринська, буд. 661 кв. 0, Бучач, 24710",055 508-72-85,rmalyk@example.org
Негода,Марʼяна,Олександрівна,Жінка,1980-12-18,Астронавт,хутір Ромни,"набережна Цегельнозаводська, буд. 34 кв. 074, Сновськ, 32088",629 07 68,telizhenkoolha@example.org
Цушко,Єва,Григорівна,Жінка,2005-01-10,Різноробочий,хутір Полонне,"площа Чорноморського козацтва, буд. 0 кв. 0, Коростень, 21791",+380 (97) 988-66-53,vernyhoranazar@example.net
Теліженко,Єлисей,Олександрович,Чоловік,1985-05-29,Математик,селище Жовті Води,"сквер Кільовий, буд. 43, Євпаторія, 64486",083 762 78 38,solomon88@example.com
Єрченко,Борислав,Олегович,Чоловік,1943-08-05,Економіст,село Білопілля,"узвіз Новаторів, буд. 04 кв. 60, Старобільськ, 20186",+380 46 078-33-31,khrystyna74@example.com
Єрошенко,Світлана,Євгенівна,Жінка,1958-09-10,Головний меркшейдер,хутір Турка,"набережна Стамбульський, буд. 12 кв. 252, Вуглегірськ, 92336",+380 34 261-22-95,viktoriia41@example.com
Оробець,Василь,Степанович,Чоловік,2004-03-21,Фотограф,місто Сєвєродонецьк,"набережна Сашка Хорошенка, буд. 90 кв. 70, Сновськ, 84386",088 840-88-45,jieromenko@example.com
Чорновіл,Єлисавета,Ігорівна,Жінка,1970-09-14,Швачка,село Сарни,"шосе Толбухіна, буд. 70 кв. 0, Охтирка, 30032",+380 05 940-89-56,makarmakohon@example.org
Андрощук,Оксенія,Володимирівна,Жінка,1939-08-19,Астрофізик,хутір Новоград-Волинський,"набережна Шишкіна, буд. 127 кв. 378, Феодосія, 38595",072-81-69,levko21@example.org
Фастенко,Адам,Григорович,Чоловік,1979-02-05,Електротехнік,село Долинська,"набережна Яружний, буд. 0 кв. 488, Саки , 66094",+380 18 879-95-25,sviatoslavakorpaniuk@example.net
Безбородько,Розалія,Юріївна,Жінка,1941-07-29,Громадський діяч,селище Новоукраїнка,"шосе Одеса-Головна, буд. 48, Дебальцеве, 97411",279 44 78,albertverhun@example.org
Зінкевич,Тереза,Леонідівна,Жінка,1965-07-13,Археолог,місто Кобеляки,"сквер 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 804, Часів Яр, 96651",+380 (22) 755-82-94,viacheslav33@example.net
Данильчук,Аврелій,Іванович,Чоловік,1996-08-09,Психолог,місто Рудки,"сквер Миколи Боровського, буд. 129, Решетилівка, 28011",+380 05 857-68-09,romanandrusenko@example.net
Сацюк,Артем,Євгенович,Чоловік,1988-01-19,Головний меркшейдер,село Павлоград,"вулиця Іспанський, буд. 95 кв. 2, Липовець, 53264",050 492 76 02,martynvyshyvana@example.com
Матвієнко,Тереза,Григорівна,Жінка,1980-03-22,Режисер,місто Павлоград,"парк Пересипська 5-та, буд. 433, Березне, 52179",+380 (34) 803-01-30,irynagalagan@example.org
Рябець,Роксолана,Олегівна,Жінка,1964-07-01,Стоматолог,місто Куп'янськ,"проспект 12-та Суворовська, буд. 23, Галич, 40429",+380 90 399-66-27,chalyiadam@example.com
Жаліло,Віра,Євгенівна,Жінка,1949-12-26,Лікар,селище Золочів,"парк Водопровідний 2-й, буд. 679 кв. 09, Олександрія, 17585",+380 61 530 31 62,khorishkomyron@example.org
Даньків,Остап,Васильович,Чоловік,1978-11-20,Провізор,село Щолкіне,"вулиця Базарна, буд. 9, Кобеляки, 93052",+380 (29) 735-11-93,spastalan@example.com
Козаченко,Олесь,Володимирович,Чоловік,1954-02-05,Хімік,хутір Носівка,"шосе Поїзна, буд. 193 кв. 398, Гуляйполе, 36620",+380 63 058 70 93,valerii02@example.com
Усик,Микита,Дмитрович,Чоловік,1995-05-24,Медик,місто Токмак,"сквер Аркаса Миколи, буд. 359, Корець, 74082",454-23-78,huziiodarka@example.net
Бандера,Дарина,Петрівна,Жінка,1976-02-05,Дипломат,місто Гадяч,"вулиця Кибальчича, буд. 2, Ізмаїл, 24459",437-68-36,avhustynishchenko@example.com
Чабан,Дмитро,Михайлович,Чоловік,1955-05-21,Письменник,місто Дніпро ,"вулиця Мала Садова, буд. 315 кв. 80, Моспине, 08641",260-56-42,vasyl90@example.org
Павлик,Ада,Євгенівна,Жінка,1993-11-21,Фольклорист,хутір Броди,"провулок Суперфосфатна, буд. 174, Новий Калинів, 86025",+380 38 087-47-23,solomonovcharenko@example.org
